Academic_Year,UDISE_Code,district_name & code,block_name & code,School_Name,PP3_B,PP3_G,PP3_T,PP2_B,PP2_G,PP2_T,PP1_B,PP1_G,PP1_T,C1B,C1G,C1T,C2B,C2G,C2T,C3B,C3G,C3T,C4B,C4G,C4T,C5B,C5G,C5T,C6B,C6G,C6T,C7B,C7G,C7T,C8B,C8G,C8T,C9B,C9G,C9T,C10B,C10G,C10T,C11B,C11G,C11T,C12B,C12G,C12T,Total
2024-25,28173000611,BAPATLA (2828),KOLLURU (281730),MPPS GAMALLAPALEM,0,0,0,0,0,0,0,0,0,2,3,0,3,6,0,2,3,0,4,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
2024-25,28173300705,BAPATLA (2828),TSUNDUR (281733),MPPS MUNNANGIVARIPALEM,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2024-25,28173801105,PALNADU (2832),NADENDLA (281738),MPPS (SN) GANAPAVARAM,0,0,0,0,0,0,0,0,0,6,4,0,1,4,0,6,5,0,2,4,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
2024-25,28173990641,PALNADU (2832),NARASARAOPETA (281739),MPL HS(G) NRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,146,0,0,172,0,0,165,0,0,153,0,0,0,0,0,0,0,803
2024-25,28174000801,PALNADU (2832),ROMPICHERLA (281740),MPPS HE ROMPICHERLA,0,0,0,3,2,0,2,1,0,5,2,0,5,6,0,3,5,0,4,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
2024-25,28174100507,PALNADU (2832),EPURU (281741),ZPHS IPURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,64,9,0,73,14,0,106,20,0,80,18,0,75,14,0,0,0,0,0,0,0,482
2024-25,28174401801,PALNADU (2832),NUZENDLA (281744),MPPS NUJENDLA,0,0,0,0,0,0,0,0,0,4,2,0,2,2,0,3,5,0,4,3,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
2024-25,28174700601,GUNTUR (2817),KAKUMANU (281747),MPPS KAKUMANU,0,0,0,0,0,0,0,0,0,19,10,0,10,13,0,8,9,0,12,8,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
2024-25,28174890726,GUNTUR (2817),PONNURU (281748),ZPHS NIDUBROLU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,39,0,65,62,0,73,61,0,105,62,0,97,89,0,0,0,0,0,0,0,699
2024-25,28174900707,BAPATLA (2828),AMRUTHALURU (281749),MPPS RAMANNA CHERUVU AMRUTHALUR,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,5,7,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2024-25,28175000308,BAPATLA (2828),CHERUKUPALLE (281750),MPPS HE CHERUKUPALLI,0,0,0,0,0,0,0,0,0,4,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2024-25,28175290830,BAPATLA (2828),REPALLE (281752),GOVT.HS 1 WARD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,14,10,0,18,10,0,20,5,0,16,8,0,0,0,0,0,0,0,116
2024-25,28175600301,BAPATLA (2828),KARLAPALEM (281756),MPPS INDIRA NAGAR,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,1,3,0,5,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
2024-25,28180200801,PRAKASAM (2818),PULLALACHERUVU (281802),MPPS PULLALA CHERUVU(MAIN),0,0,0,0,0,0,0,0,0,5,8,0,3,8,0,12,5,0,6,10,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
2024-25,28180401102,PRAKASAM (2818),KURICHEDU (281804),MPPS OLD N.S.P.COLONY,0,0,0,0,0,0,0,0,0,9,9,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
2024-25,28180601302,PRAKASAM (2818),PEDARAVEEDU (281806),MPPS PEDDARAVEEDU (DPEP),0,0,0,0,0,0,0,0,0,9,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2024-25,28181001401,PRAKASAM (2818),TARLUPADU (281810),MPPS TARLUPADU HINDU,0,0,0,0,0,0,0,0,0,6,9,0,11,8,0,7,8,0,14,7,0,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
2024-25,28181402403,PRAKASAM (2818),MUNDLAMURU (281814),MPPS MUNDLAMUR HW,0,0,0,0,0,0,0,0,0,3,2,0,2,2,0,2,4,0,1,2,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2024-25,28181700502,BAPATLA (2828),BALLIKURAVA (281817),MPPS BALLIKURAVA (HE),0,0,0,0,0,0,0,0,0,7,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
2024-25,28181800403,BAPATLA (2828),SANTHAMAGULURU (281818),MPPS COLONY SANTHAMAGULUR,0,0,0,0,0,0,0,0,0,3,4,0,0,2,0,6,2,0,3,3,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2024-25,28181900501,BAPATLA (2828),YEDDANAPUDI (281819),MPPS YEDDANA PUDI(MP),0,0,0,0,0,0,0,0,0,4,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
2024-25,28182101109,BAPATLA (2828),PARCHURU (281821),MPUPS PARCHUR,0,0,0,0,0,0,0,0,0,3,7,0,8,5,0,9,11,0,13,10,0,10,6,0,12,11,0,14,12,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,146
2024-25,28182200204,BAPATLA (2828),KARAMCHEDU (281822),MPPS KARAMCHEDU MC,0,0,0,0,0,0,1,3,0,2,1,0,3,2,0,0,2,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2024-25,28183000502,PRAKASAM (2818),MARRIPUDI (281830),MPPS MARRIPUDI,0,0,0,0,0,0,2,2,0,11,7,0,8,10,0,9,12,0,9,11,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
2024-25,28183100921,PRAKASAM (2818),KANIGIRI (281831),Govt.HS KANIGIRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,18,0,39,16,0,35,27,0,72,20,0,67,14,0,0,0,0,0,0,0,338
2024-25,28183700109,PRAKASAM (2818),KOMAROLU (281837),MPPSKOMAROLE,0,0,0,0,0,0,0,0,0,4,3,0,5,5,0,4,1,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2024-25,28183802003,PRAKASAM (2818),C.S.PURAM (281838),MPPSC.S.PURAM(ST),0,0,0,0,0,0,0,0,0,5,6,0,4,8,0,3,4,0,3,9,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
2024-25,28183901801,PRAKASAM (2818),VELIGANDLA (281839),"MPPS,VELIGANDLA(MAIN)",0,0,0,0,0,0,0,0,0,10,12,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
2024-25,28184001001,PRAKASAM (2818),P.C.PALLI (281840),MPPSGOPAVARAPUVARI PALLI,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,4,2,0,5,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2024-25,28184200902,PRAKASAM (2818),KONDAPI (281842),"MPPS,DASIREDDY PALEM",0,0,0,0,0,0,0,0,0,6,5,0,7,7,0,9,5,0,12,4,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
2024-25,28184300701,PRAKASAM (2818),SANTHANUTHALAPADU (281843),MPPSSANTHANUTHALAPADU MAIN,0,0,0,0,0,0,4,2,0,3,3,0,0,2,0,3,0,0,2,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2024-25,28184800101,PRAKASAM (2818),TANGUTUR (281848),MPPSTANGUTUR (H),0,0,0,0,0,0,2,1,0,5,4,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
